FTU,FTUID,Vessel,VesselID,PathStep,PathVessel,PathVesselID
alveolus of lung,UBERON:0002299,alveolar capillary,,-8,right ventricle,UBERON:0002080
alveolus of lung,UBERON:0002299,alveolar capillary,,-7,pulmonary trunk,UBERON:0002333
alveolus of lung,UBERON:0002299,alveolar capillary,,-6,left pulmonary artery,UBERON:0001652
alveolus of lung,UBERON:0002299,alveolar capillary,,-5,segmental pulmonary artery,FMA:8755
alveolus of lung,UBERON:0002299,alveolar capillary,,-4,subsegmental pulmonary artery,FMA:9311
alveolus of lung,UBERON:0002299,alveolar capillary,,-3,pulmonary arteriole,FMA:279896
alveolus of lung,UBERON:0002299,alveolar capillary,,-2,intra-acinar arteriole,
alveolus of lung,UBERON:0002299,alveolar capillary,,-1,pre-alveolar capillary,
alveolus of lung,UBERON:0002299,alveolar capillary,,0,alveolar capillary,
alveolus of lung,UBERON:0002299,alveolar capillary,,1,post-alveolar capillary,
alveolus of lung,UBERON:0002299,alveolar capillary,,2,intra-acinar venule,
alveolus of lung,UBERON:0002299,alveolar capillary,,3,pulmonary venule,
alveolus of lung,UBERON:0002299,alveolar capillary,,4,subsegmental pulmonary vein,FMA:9413
alveolus of lung,UBERON:0002299,alveolar capillary,,5,segmental pulmonary vein,FMA:9411
alveolus of lung,UBERON:0002299,alveolar capillary,,6,pulmonary vein,UBERON:0002016
alveolus of lung,UBERON:0002299,alveolar capillary,,7,left atrium,UBERON:0002079
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,-8,left ventricle,UBERON:0002084
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,-7,aorta,UBERON:0000947
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,-6,ascending aorta,UBERON:0001496
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,-5,aortic arch,UBERON:0001508
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,-4,descending aorta,UBERON:0001514
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,-3,descending thoracic aorta,UBERON:0002345
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,-2,bronchial artery,UBERON:0002040
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,-1,bronchial arteriole,
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,0,bronchial capillary,
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,1,bronchial venule,
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,2,bronchial vein,UBERON:0001592
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,3,accessory hemiazygos vein,UBERON:0006665
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,4,azygos vein,UBERON:0001594
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,5,superior vena cava,UBERON:0001585
bronchus submucosal gland,UBERON:8410043,bronchial capillary,,6,right atrium,UBERON:0002078
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-15,left ventricle,UBERON:0002084
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-14,aorta,UBERON:0000947
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-13,ascending aorta,UBERON:0001496
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-12,aortic arch,UBERON:0001508
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-11,descending aorta,UBERON:0001514
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-10,descending thoracic aorta,UBERON:0002345
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-9,abdominal aorta,UBERON:0001516
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-8,renal artery,UBERON:0001184
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-7,segmental renal artery,FMA:70494
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-6,interlobar renal artery,UBERON:0009885
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-5,arcuate renal artery,UBERON:0001552
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-4,interlobular renal artery,UBERON:0004723
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-3,renal afferent arteriole,UBERON:0004639
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-2,glomerular capillary,UBERON:0004212
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,-1,renal efferent arteriole,UBERON:0004640
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,0,peritubular capillary,UBERON:0005272
